ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
38,51,25,601.228,688001,1,11.8552,3,1676.664,0,0,0,0,0
39,42,18,1193.988,796470,3,42.34,3,0,1,1,1,1,0
40,38,13,677.44,515001,4,5.9276,3,2413.38,0,0,0,1,0
41,57,32,711.312,122001,3,13.5488,3,0,0,1,0,0,0
42,34,9,508.08,507101,3,19.4764,1,0,0,0,0,0,0
43,32,7,1117.776,799001,4,9.3148,2,3488.816,1,0,0,1,0
44,39,15,381.06,507101,1,5.9276,1,0,0,0,0,1,0
45,46,20,880.672,713101,1,48.2676,1,0,0,0,0,1,1
46,57,31,440.336,580001,4,21.17,1,0,0,0,0,0,1
47,39,14,364.124,395003,3,5.9276,2,1295.604,0,0,0,1,0
48,37,12,1642.792,411001,4,1.6936,3,1786.748,1,1,1,1,1
49,56,26,685.908,403001,2,38.106,3,0,0,0,0,0,1
50,40,16,414.932,500001,1,15.2424,1,0,0,0,0,0,1
51,32,8,67.744,737101,4,5.9276,2,0,0,1,0,1,0
52,61,37,1109.308,342001,1,24.5572,1,0,0,0,0,1,0
53,30,6,609.696,841301,1,0.8468,1,1752.876,0,0,0,0,0
54,50,26,1608.92,791120,3,17.7828,3,2032.32,1,0,0,1,0
55,29,5,372.592,756001,1,1.6936,3,0,0,0,0,1,0
56,41,17,1177.052,781001,2,67.744,1,0,0,0,0,1,0
57,55,30,245.572,282001,3,0.8468,2,0,0,1,1,1,0
58,56,31,1109.308,785001,2,10.1616,3,0,1,0,0,0,0
59,28,2,787.524,713101,2,1.6936,1,0,0,0,0,0,0
60,31,5,1591.984,795114,2,38.106,1,3852.94,0,0,0,0,0
61,49,24,330.252,321001,3,14.3956,2,0,0,1,0,1,0
62,47,21,1058.5,737103,1,48.2676,1,948.416,0,1,0,0,0
63,42,18,186.296,246149,1,8.468,1,0,0,0,0,0,0
64,42,17,270.976,331001,4,0,2,0,0,0,0,1,0
65,47,23,889.14,175101,2,27.9444,1,0,0,0,0,0,0
66,59,35,1109.308,524001,1,32.1784,1,0,0,0,0,1,1
67,62,36,889.14,796321,2,23.7104,1,2845.248,0,0,0,0,0
68,53,23,381.06,331001,4,16.936,3,1117.776,0,1,0,0,0
69,47,21,508.08,786001,3,17.7828,1,0,0,0,0,1,1
70,53,29,169.36,641001,4,1.6936,1,0,0,0,0,1,0
71,42,18,973.82,682001,1,29.638,1,0,0,0,0,0,1
72,53,29,584.292,799203,4,8.468,2,0,0,0,0,1,0
73,44,20,1100.84,122001,1,42.34,1,0,0,0,0,0,1
74,41,16,719.78,497001,1,33.872,3,0,0,0,0,1,1
75,28,3,1143.18,442001,2,27.9444,1,0,0,0,0,0,1
76,31,7,1143.18,695001,4,32.1784,2,0,1,0,1,1,1
77,58,32,101.616,250001,3,2.5404,3,0,0,0,0,0,0
78,46,20,245.572,132103,3,4.234,2,0,0,0,0,0,0
79,54,30,1126.244,688001,2,22.0168,3,0,1,0,0,0,0
80,50,26,160.892,403721,2,3.3872,1,999.224,0,0,0,1,0
81,60,36,347.188,500001,4,11.0084,1,1473.432,0,0,0,1,1
82,47,22,338.72,831001,3,22.8636,2,0,0,0,0,1,0
83,41,16,694.376,273001,1,33.872,3,0,0,0,0,1,0
84,33,9,423.4,509001,1,20.3232,2,0,0,0,0,0,0
85,46,22,152.424,491001,1,7.6212,3,0,0,0,0,1,0
86,27,2,923.012,364001,4,15.2424,3,0,0,0,0,0,0
87,40,16,355.656,560001,4,18.6296,2,1066.968,0,0,0,0,0
88,48,22,660.504,575001,3,9.3148,1,0,0,0,0,1,0
89,65,41,431.868,400001,2,9.3148,1,0,0,0,0,1,0
90,25,-1,956.884,395003,4,19.4764,3,0,0,0,0,0,1
91,55,30,999.224,173001,4,47.4208,2,0,1,0,0,1,0
92,35,10,245.572,628001,4,9.3148,3,0,0,0,0,1,0
93,43,19,287.912,786001,3,5.0808,2,0,0,0,0,0,0
94,60,34,541.952,363001,2,14.3956,3,1998.448,0,1,0,1,0
95,65,39,1024.628,424001,1,16.936,1,0,0,0,0,0,0
96,38,12,406.464,450001,4,1.6936,3,0,0,0,0,1,0
97,41,15,677.44,380001,1,44.0336,1,0,0,0,0,0,0
98,54,28,1363.348,331001,1,24.5572,1,0,0,0,0,1,0
99,49,23,795.992,590001,1,2.5404,1,0,0,0,0,1,0
100,66,41,127.02,509001,3,0.8468,3,0,0,0,0,1,0
101,48,23,626.632,797112,1,10.1616,1,0,0,0,0,1,0
102,61,36,254.04,795114,3,11.0084,2,0,0,0,0,0,0
103,53,23,372.592,360001,3,8.468,3,1676.664,0,0,0,1,1
104,43,18,186.296,797112,2,2.5404,2,0,0,0,0,1,0
105,56,32,321.784,821115,4,11.0084,1,1405.688,0,0,0,1,1
106,24,0,296.38,737135,3,0.8468,2,0,0,1,0,1,0
107,43,17,584.292,524001,4,24.5572,1,0,0,0,0,1,1
108,42,18,364.124,171001,1,5.9276,1,1151.648,0,0,0,0,0
109,33,7,270.976,127021,1,5.0808,3,1405.688,0,0,0,1,0
110,43,17,414.932,125001,1,23.7104,1,0,0,0,0,1,0
111,41,14,76.212,641001,3,8.468,2,0,0,0,0,0,0
112,62,38,381.06,125001,4,11.0084,2,0,0,0,0,1,0
113,40,15,694.376,141001,3,8.468,1,2616.612,0,0,0,0,0
114,58,34,779.056,331001,2,23.7104,1,872.204,0,0,0,0,0
115,39,14,330.252,500001,3,4.234,3,0,0,0,0,1,0
116,65,40,685.908,713101,3,15.2424,2,0,0,0,0,1,0
117,54,29,296.38,769001,1,12.702,2,0,0,0,0,1,0
118,58,33,516.548,814112,2,19.4764,3,1634.324,0,0,0,1,0
119,41,16,618.164,791104,3,25.404,1,0,0,0,0,1,0
120,32,7,948.416,686001,1,38.9528,1,3099.288,0,0,0,0,0
121,54,29,101.616,335001,2,1.6936,3,0,0,0,0,1,0
122,52,26,321.784,762001,3,7.6212,3,0,0,0,0,1,0
123,58,32,618.164,413001,2,5.9276,2,0,0,0,0,1,1
124,37,13,711.312,403802,1,30.4848,2,0,0,1,0,0,0
125,39,15,660.504,132103,4,20.3232,1,999.224,0,0,0,1,0
126,60,35,677.44,395003,3,4.234,1,0,0,0,0,1,0
127,31,5,973.82,244001,2,11.0084,1,855.268,0,0,0,1,1
128,34,8,694.376,462001,1,22.8636,2,2125.468,0,0,0,1,0
129,38,14,626.632,431001,2,0,1,0,0,1,0,1,0
130,41,16,592.76,799001,3,4.234,3,0,0,0,0,0,1
131,28,4,685.908,452001,3,12.702,1,2337.168,0,0,0,1,0
132,58,34,1261.732,795133,4,60.9696,2,0,1,0,1,1,1
133,31,1,431.868,313001,2,14.819,3,0,0,0,0,0,0
134,30,4,330.252,815301,3,9.3148,2,0,0,0,0,1,0
135,53,29,829.864,799203,3,15.2424,2,0,0,0,0,0,0
136,58,33,381.06,751001,4,17.7828,1,0,0,0,0,1,1
137,59,32,414.932,571401,4,21.17,2,0,0,0,0,1,0
138,49,25,1083.904,794002,2,3.3872,1,0,0,0,0,0,0
139,59,34,355.656,796321,3,12.702,1,0,0,1,1,0,1
140,59,35,152.424,721301,1,10.1616,3,0,0,0,0,1,0
141,51,25,262.508,176001,2,3.3872,3,1363.348,0,0,0,1,1
142,35,11,491.144,362001,3,16.936,1,1261.732,0,0,0,1,1
143,33,9,406.464,494001,1,17.7828,3,0,0,0,0,0,1
144,25,1,457.272,313001,4,13.5488,1,0,0,0,0,1,1
145,49,23,592.76,462001,2,12.702,2,0,0,0,0,0,0
146,59,35,1050.032,403001,1,62.6632,1,0,0,0,0,0,1
147,46,19,711.312,794002,1,22.60956,2,0,0,0,0,1,1
148,50,25,702.844,442001,4,30.4848,3,1591.984,0,0,0,1,0
149,52,28,1380.284,851101,2,3.3872,1,982.288,0,0,0,1,0
150,48,22,355.656,695001,3,18.6296,2,0,0,0,0,0,0
151,46,22,999.224,122001,2,63.51,1,0,0,0,1,1,1
152,26,0,1117.776,796321,3,55.042,3,0,1,0,0,0,1
153,57,32,203.232,741001,1,11.0084,1,0,0,0,0,1,1
154,60,36,186.296,152101,2,8.468,1,0,0,1,1,1,1
155,54,29,491.144,452001,4,11.0084,3,0,0,0,0,0,0
156,24,0,508.08,282001,4,13.5488,1,0,0,0,0,1,0
157,26,0,127.02,248001,4,3.3872,1,0,0,0,0,0,1
158,41,17,702.844,151001,4,22.60956,1,0,0,0,0,1,1
159,32,6,668.972,248001,2,12.702,3,0,0,0,0,1,1
160,61,35,347.188,530017,4,14.3956,2,0,0,1,0,1,0
161,29,0,1134.712,734001,4,55.042,3,0,1,0,0,0,0
162,61,35,677.44,815301,2,23.7104,1,0,0,0,0,1,0
163,38,12,440.336,737103,1,16.936,1,0,0,0,0,0,0
164,28,4,592.76,190001,4,22.0168,1,0,0,0,0,1,0
165,53,27,779.056,641001,2,9.3148,1,0,0,1,0,0,0
166,27,1,364.124,744104,1,12.702,1,0,0,0,0,1,0
167,25,1,177.828,403802,3,8.468,2,0,0,0,0,0,0
168,33,9,194.764,396445,3,7.6212,3,0,0,0,0,1,1
169,50,26,110.084,134003,4,8.468,1,0,0,0,0,1,0
170,27,1,948.416,263139,4,17.7828,3,0,0,0,0,0,1
171,27,1,1168.584,125001,2,16.936,1,0,0,0,0,1,0
172,52,28,93.148,791111,3,3.3872,1,0,0,1,0,0,0
173,38,13,1448.028,781001,2,66.0504,1,0,0,0,0,1,0
174,58,34,355.656,209625,4,12.702,1,0,0,0,0,1,1
175,42,17,1422.624,753001,2,66.8972,2,0,1,0,0,1,0
176,45,20,719.78,500001,4,9.3148,2,0,0,1,0,1,0
177,52,25,372.592,600001,3,8.468,2,1143.18,0,0,0,1,0
178,29,3,550.42,313001,4,15.2424,2,2066.192,0,0,0,0,0
179,53,29,203.232,497001,4,1.6936,1,0,0,0,0,1,1
180,62,37,93.148,335001,1,0.8468,1,0,0,0,0,1,0
181,51,27,321.784,799203,2,8.468,3,1388.752,0,0,0,1,0
182,36,12,84.68,396230,4,5.9276,2,685.908,0,0,0,0,0
183,24,0,1143.18,403601,1,12.702,1,0,0,0,0,1,0
184,29,3,1253.264,152101,3,34.7188,1,0,1,0,0,1,0
185,52,26,533.484,125001,2,12.702,2,0,0,1,0,1,0
186,39,14,973.82,673001,1,8.468,3,0,0,0,0,1,0
187,48,23,381.06,248140,1,2.5404,1,0,0,0,0,1,1
188,46,21,1346.412,796470,3,16.0892,3,2667.42,1,0,0,1,0
189,64,40,1431.092,110001,2,17.7828,1,1033.096,0,0,0,1,0
190,55,29,948.416,492001,2,11.8552,1,0,0,0,0,1,0
191,60,36,787.524,321001,1,36.4124,1,0,0,0,0,1,0
192,51,25,245.572,173001,1,2.5404,3,1185.52,0,0,0,0,0
193,50,23,719.78,470001,1,22.60956,2,0,0,0,0,1,0
194,48,24,177.828,791111,4,5.0808,1,0,0,0,0,1,1
195,53,29,1219.392,500001,2,57.5824,1,0,0,0,0,1,0
196,34,10,110.084,791102,4,8.468,1,804.46,0,1,0,1,0
197,48,24,1397.22,797112,1,42.34,1,0,0,0,0,0,1
198,55,31,76.212,411001,4,5.9276,1,753.652,0,0,0,1,0
199,27,3,499.612,786001,4,0,1,762.12,0,1,0,1,0
200,36,11,1337.944,737101,1,43.1868,3,0,1,0,1,1,1
201,32,6,245.572,796001,1,16.0892,3,0,0,0,0,1,1
202,35,9,169.36,363001,2,11.8552,3,0,0,0,0,1,1
203,30,3,575.824,737103,4,16.936,2,0,0,0,0,1,0
204,58,34,550.42,173001,4,18.6296,1,0,0,0,0,1,0
205,56,31,516.548,782001,2,16.0892,2,889.14,0,0,0,0,0
206,38,12,770.588,751001,4,11.8552,2,846.8,0,0,0,0,1
207,49,25,262.508,262701,1,8.468,1,0,0,1,0,1,0
208,34,10,601.228,362001,4,0.8468,2,0,0,0,0,0,0
209,40,16,618.164,122001,4,22.60956,1,0,0,0,0,1,1
210,64,39,1456.496,148001,4,26.2508,1,2387.976,1,0,1,1,1
211,51,26,169.36,759001,2,0,1,0,0,0,0,0,0
212,44,18,465.74,516001,1,1.6936,1,0,0,0,0,0,0
213,46,22,584.292,641001,2,14.3956,1,1769.812,0,0,0,0,0
214,57,33,1312.54,171001,1,62.6632,1,0,0,0,0,1,0
215,54,28,795.992,796001,1,16.0892,2,0,0,0,0,0,0
216,38,14,779.056,744101,2,0,1,2108.532,0,0,0,1,1
217,27,3,1058.5,582101,2,5.0808,1,0,0,0,0,0,0
218,39,14,626.632,495001,3,25.404,1,0,0,0,0,0,0
219,44,20,609.696,606001,3,2.5404,3,0,0,0,0,1,0
220,56,30,516.548,744104,1,18.6296,3,0,0,0,0,1,1
221,32,6,211.7,431001,2,2.5404,1,0,0,0,0,0,1
222,45,19,702.844,380001,2,14.3956,2,0,0,0,0,1,0
223,26,2,880.672,563101,3,21.17,1,0,0,0,0,0,0
224,55,25,347.188,263139,3,8.468,3,0,0,0,0,1,0
225,52,27,491.144,171001,4,15.2424,3,770.588,0,0,0,0,0
226,39,13,787.524,759001,1,12.702,3,0,0,0,0,0,1
227,24,-1,330.252,263139,2,14.3956,2,0,0,0,0,0,0
228,47,23,1253.264,624001,2,63.51,1,0,0,0,1,1,1
229,47,22,448.804,482001,4,16.0892,3,829.864,0,1,1,0,1
230,48,24,601.228,173001,2,14.3956,1,1227.86,0,0,0,0,1
231,47,22,779.056,403001,1,23.7104,2,0,0,0,0,1,0
232,35,10,516.548,403601,4,17.7828,3,0,0,0,0,1,0
233,46,19,321.784,194101,3,21.17,2,1143.18,0,0,0,0,0
234,62,37,491.144,796321,4,14.3956,1,0,0,0,0,1,0
235,26,1,677.44,524001,1,6.7744,2,1270.2,0,0,0,0,0
236,38,8,601.228,744104,4,15.2424,3,0,0,0,0,1,0
237,43,18,753.652,450001,3,4.234,3,0,0,0,0,1,1
238,62,38,702.844,395003,1,15.2424,3,0,0,0,0,1,0
239,57,32,237.104,411001,3,1.6936,1,0,0,0,0,1,1
240,28,3,440.336,641001,4,14.3956,2,0,0,0,0,0,0
241,51,26,592.76,796470,1,10.1616,1,1431.092,0,0,0,0,0
242,48,22,601.228,680001,1,11.8552,3,0,0,0,0,0,1
243,41,16,635.1,364001,1,31.3316,3,2371.04,0,0,0,0,0
244,65,39,1439.56,494001,3,66.8972,3,838.332,1,0,1,1,0
245,41,17,660.504,624001,4,6.7744,1,660.504,0,0,0,1,0
246,35,11,211.7,282001,2,8.468,2,0,0,0,0,0,0
247,38,14,508.08,171001,2,5.0808,3,0,0,0,0,1,1
248,53,29,1016.16,500001,4,22.8636,2,939.948,1,1,1,1,0
249,55,29,838.332,190001,2,11.8552,1,2235.552,0,0,0,1,1
250,26,1,465.74,123401,3,22.0168,3,956.884,0,0,0,0,1
251,30,6,245.572,462001,3,8.468,2,990.756,0,0,0,0,0
252,54,28,1439.56,131001,2,52.5016,2,2752.1,1,0,0,1,0
253,65,40,448.804,815301,3,18.6296,1,0,0,0,0,0,1
254,47,21,1168.584,321001,1,0,1,0,0,0,0,0,0
255,65,41,1134.712,491001,3,33.0252,3,1024.628,1,0,0,1,0
256,66,40,355.656,607001,2,5.9276,3,1168.584,0,0,0,0,1
257,26,0,838.332,753001,4,19.4764,3,0,0,0,0,0,1
258,66,41,152.424,582101,3,4.234,1,0,0,0,0,0,1
259,35,9,203.232,421001,4,2.5404,1,0,0,0,0,1,0
260,56,30,465.74,691001,1,11.8552,1,652.036,0,0,0,1,0
261,51,27,491.144,342001,1,0,1,0,0,0,0,0,1
262,42,16,939.948,682555,2,10.1616,3,2125.468,1,0,0,1,0
263,49,23,279.444,686001,1,2.5404,3,0,0,0,1,1,1
264,27,1,626.632,246149,4,15.2424,2,948.416,0,0,0,1,1
265,45,19,321.784,141001,2,5.9276,1,0,0,0,0,0,0
266,49,23,194.764,606001,4,5.0808,3,829.864,0,1,0,0,0
267,63,38,516.548,713101,2,12.702,1,0,0,0,0,1,0
268,47,22,685.908,246149,1,24.5572,1,1168.584,0,0,0,0,0
269,64,39,1092.372,756001,1,21.17,1,0,0,0,0,1,0
270,43,13,279.444,360001,1,6.351,3,0,0,0,0,0,0
271,60,36,533.484,628001,4,18.6296,1,0,0,0,0,1,0
272,40,14,592.76,582101,4,11.8552,2,0,0,0,0,1,0
273,29,3,381.06,517501,4,1.6936,1,1337.944,0,0,0,1,1
274,41,16,550.42,506001,3,4.234,3,0,0,0,0,1,0
275,30,5,626.632,522001,4,18.6296,1,0,0,1,0,0,1
276,49,24,423.4,700001,4,15.2424,3,0,0,1,0,0,0
277,30,5,186.296,248140,4,4.234,3,923.012,0,0,0,1,0
278,29,2,254.04,335001,4,8.468,3,0,0,0,0,0,0
279,50,26,177.828,582101,4,8.468,1,0,0,0,0,1,0
280,39,14,1312.54,575001,2,33.0252,1,0,0,0,0,1,0
281,33,8,541.952,442001,4,17.7828,3,1388.752,0,0,0,1,0
282,57,31,550.42,744101,4,22.0168,3,0,0,0,0,0,1
283,34,9,601.228,262701,4,5.9276,3,0,0,0,0,1,0
284,61,36,338.72,799001,3,4.234,2,0,0,1,0,1,0
285,44,19,584.292,194302,3,4.234,3,0,0,0,0,1,0
286,40,13,584.292,673001,3,19.73044,2,0,0,0,0,0,0
287,51,25,381.06,713101,3,5.0808,2,1109.308,0,0,0,1,0
288,37,12,525.016,403001,3,5.9276,2,0,0,0,0,0,1
289,44,19,1456.496,571401,2,36.4124,3,3310.988,1,1,1,1,0
290,42,15,203.232,176215,3,8.468,2,0,0,0,0,1,1
291,51,25,677.44,273001,1,41.4932,1,0,0,0,0,0,0
292,43,16,67.744,273001,3,5.67356,2,745.184,0,0,0,1,0
293,30,5,321.784,842001,4,6.7744,1,1092.372,0,0,0,1,1
294,45,19,787.524,822101,4,22.0168,3,0,0,0,0,0,0
295,35,9,465.74,473001,1,16.936,1,0,0,0,0,1,0
296,60,34,541.952,411001,2,14.3956,3,0,0,0,0,0,1
297,34,9,1033.096,515001,1,0,1,0,0,0,0,1,0
298,55,25,592.76,533101,3,11.8552,3,0,0,0,0,1,0
299,43,19,685.908,815301,2,27.0976,1,0,0,0,0,0,0
300,41,15,1346.412,331001,1,46.574,3,0,1,0,1,1,0
301,34,9,592.76,797001,4,11.0084,1,0,0,1,0,0,0
302,65,39,1270.2,473001,2,58.4292,1,1659.728,0,0,0,0,0
303,45,21,1287.136,396445,2,63.51,1,0,0,0,0,1,0
304,49,25,1651.26,575001,4,25.404,1,5224.756,1,0,0,0,0
305,48,23,186.296,782001,1,0.8468,1,0,0,0,0,0,0
306,60,35,186.296,799001,1,11.0084,1,1041.564,0,0,0,1,0
307,55,29,668.972,431001,3,6.7744,1,0,0,0,0,1,1
308,42,18,279.444,248001,1,11.8552,3,0,0,0,0,1,0
309,32,8,1083.904,842001,2,36.66644,1,0,0,0,1,1,1
310,62,38,770.588,691001,1,32.1784,1,0,0,1,0,1,0
311,57,32,330.252,201001,4,7.6212,1,0,0,0,0,1,1
312,52,26,1024.628,821115,1,61.8164,1,1414.156,0,0,0,1,0
313,36,6,177.828,721301,1,5.67356,3,0,0,1,0,1,0
314,34,9,347.188,799120,3,19.4764,1,0,0,0,0,0,1
315,63,37,381.06,741001,2,5.9276,3,0,0,0,0,1,0
316,24,-2,431.868,737101,3,2.5404,3,0,0,0,0,1,0
317,57,31,1397.22,571401,1,13.5488,2,0,1,0,0,1,0
318,40,16,1007.692,799203,2,35.5656,2,0,1,0,0,1,0
319,27,2,931.48,263001,4,15.2424,3,1608.92,0,0,0,1,0
320,65,39,169.36,171001,3,5.9276,2,0,0,0,0,0,1
321,60,34,541.952,620001,1,6.7744,2,2100.064,0,0,0,0,0
322,44,20,855.268,500001,3,37.2592,2,694.376,1,0,0,0,0
323,63,39,855.268,797109,1,33.0252,1,0,1,1,1,1,0
324,59,34,838.332,403001,1,37.2592,1,0,1,0,0,0,0
325,56,30,1337.944,362001,4,51.6548,1,0,1,0,0,0,0
326,54,28,753.652,335001,1,16.0892,2,0,0,0,0,1,1
327,52,27,677.44,736101,1,11.0084,3,0,0,0,1,1,1
328,58,32,965.352,590001,2,16.936,1,3404.136,0,0,0,1,0
329,60,35,414.932,791104,3,4.234,2,0,0,0,0,1,1
330,28,4,1617.388,834001,1,53.60244,1,0,0,0,0,1,0
331,54,30,660.504,147001,4,8.468,2,0,0,0,0,1,0
332,32,6,237.104,797001,3,8.468,1,0,0,0,0,0,0
333,59,33,355.656,793120,1,6.7744,2,0,0,0,0,1,0
334,63,38,1185.52,741001,1,21.17,1,0,0,0,0,0,0
335,48,23,381.06,815301,1,11.0084,2,0,0,0,0,1,0
336,56,32,1033.096,151001,2,2.5404,1,3048.48,0,0,1,1,1
337,36,12,550.42,530017,3,22.0168,2,0,0,0,0,1,0
338,57,27,575.824,515001,1,11.8552,3,0,0,0,0,1,0
339,29,3,1295.604,147001,2,16.936,1,3319.456,0,0,0,0,0
340,39,13,753.652,762001,4,11.8552,2,0,0,0,0,0,0
341,59,34,770.588,440001,1,22.0168,1,0,0,0,0,1,1
342,31,6,465.74,688001,4,16.936,2,1566.58,0,0,0,1,0
343,43,19,999.224,796321,2,27.9444,1,0,0,0,0,0,1
344,35,5,186.296,797109,1,5.67356,3,872.204,0,0,0,0,0
345,54,24,533.484,194101,3,11.8552,3,1168.584,0,0,0,1,1
346,51,27,101.616,793120,4,4.234,2,660.504,0,1,0,1,0
347,44,19,423.4,560001,3,22.8636,2,0,0,0,0,1,0
348,25,0,364.124,796321,2,13.5488,3,0,0,1,1,1,1
349,40,15,1464.964,821115,4,55.8888,1,0,1,0,1,1,1
350,26,2,508.08,516001,2,25.404,1,1117.776,1,0,0,0,0
351,39,14,956.884,364001,1,8.468,3,0,0,1,0,1,0
352,28,4,1312.54,600001,4,44.8804,2,0,1,0,0,1,0
353,52,28,770.588,507101,4,8.468,2,0,0,0,0,0,1
354,53,29,465.74,759001,4,9.3148,2,0,0,0,0,1,0
355,44,20,1464.964,494001,2,11.8552,1,3548.092,0,0,0,1,0
356,43,19,601.228,784001,3,2.5404,3,0,0,0,0,0,1
357,56,30,203.232,796470,2,3.3872,3,745.184,0,0,0,0,0
358,38,14,355.656,411001,1,16.936,2,685.908,0,0,0,1,0
359,30,6,1193.988,176001,2,36.66644,1,0,0,0,0,1,0
360,32,6,270.976,176215,1,16.0892,3,0,0,0,0,1,0
361,35,10,465.74,759001,4,11.0084,1,0,0,0,0,0,0
362,43,19,1295.604,440001,2,63.51,1,0,0,0,0,1,0
363,58,32,956.884,263001,2,11.8552,1,2286.36,0,0,0,0,1
364,25,0,254.04,495223,2,14.3956,2,0,0,0,0,0,0
365,54,24,245.572,533101,3,8.468,3,1253.264,0,0,0,0,1
366,57,32,1473.432,522001,1,57.5824,2,3946.088,1,0,0,1,0
367,50,24,296.38,390001,1,2.5404,3,0,0,0,0,1,0
368,32,8,829.864,492001,2,16.936,2,1481.9,0,0,0,1,0
369,63,37,254.04,517501,2,8.468,3,1346.412,0,0,0,1,0
370,31,6,491.144,530017,2,21.17,1,0,0,0,0,0,1
371,36,12,211.7,413001,4,8.468,1,1244.796,0,0,0,0,0
372,58,34,160.892,421001,4,5.9276,1,0,0,0,0,0,0
373,56,30,372.592,571401,4,5.9276,2,1473.432,0,0,0,1,0
374,49,25,169.36,413001,4,8.468,1,939.948,0,0,0,1,1
375,30,5,829.864,494001,2,26.2508,1,1862.96,0,0,0,1,0
376,33,7,762.12,841301,3,13.5488,1,0,0,0,0,1,0
377,45,21,516.548,796470,3,5.9276,1,0,0,0,0,0,0
378,30,5,338.72,560001,4,16.936,2,0,0,0,0,1,0
379,47,23,321.784,628001,2,17.7828,3,0,0,0,0,0,0
380,25,0,237.104,641001,2,14.3956,2,0,0,0,0,0,0
381,63,33,287.912,194101,1,12.702,3,0,0,0,0,1,1
382,55,29,618.164,516001,2,19.4764,3,0,0,0,0,1,1
383,65,41,1126.244,500001,4,16.936,1,0,1,0,0,0,1
384,44,18,448.804,151001,1,1.6936,1,0,0,0,0,1,0
385,51,25,177.828,335001,4,5.0808,3,0,0,0,0,1,1
386,35,9,338.72,171001,3,7.6212,1,0,0,0,0,1,0
387,30,5,347.188,131001,4,14.3956,2,0,0,0,0,1,0
388,31,5,694.376,148001,4,15.2424,2,0,0,0,0,1,0
389,54,30,846.8,785621,4,28.7912,3,0,1,0,0,0,0
390,45,20,1312.54,842001,1,59.276,1,0,0,0,0,1,1
391,45,19,381.06,753001,1,1.6936,1,0,0,0,0,1,0
392,58,32,76.212,403001,3,2.5404,3,0,0,0,0,0,1
393,54,29,406.464,571401,4,15.2424,3,0,0,0,0,1,0
394,53,28,152.424,605001,4,0.8468,3,923.012,0,1,1,1,1
395,33,9,677.44,331001,4,28.7912,1,0,0,0,0,1,1
396,60,35,541.952,793001,2,23.7104,1,0,0,0,0,0,0
397,50,24,245.572,600001,4,0.8468,1,0,0,0,0,0,0
398,26,2,406.464,795001,3,5.9276,2,0,0,0,0,1,0
399,54,30,194.764,821115,2,3.3872,1,0,0,0,0,0,0
400,28,3,711.312,751001,4,1.6936,1,0,0,0,0,1,1
